# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



BALLA_1	24676983	Grove Street's going down!
SWE1B27	9F720BC9	Mmm hmmm, yeah.
SWE1C00	32E296DF	Open up! You sure he still live here?
SWE1C01	45E5A649	CJ? What the fuck you want? Get the fuck outta here.
SWE1C02	DCECF7F3	Wait, hold up, man. What happened to 4 life, nigga?
SWE1C03	ABEBC765	The only thing that matters is the hood, homie,
SWE1C04	358F52C6	You know what, man? Get the fuck outta here before you be laying on your back.
SWE1C05	42886250	Hey, Bear? Big Bear, that's you? Hey, you still from the hood, homie, or what?
SWE1C06	DB8133EA	Nah, the only thing Bear give a fuck about is smoking and keeping my house clean.
SWE1C07	AC86037C	Ain't that right, Big Bear?
SWE1C08	3C391EED	Hell yeah.
SWE1C09	4B3E2E7B	Hell yeah, what?
SWE1C10	2BF9A79E	Hell, yeah, sir!
SWE1C11	5CFE9708	Now go make that motherfucking toilet sparkle.
SWE1C12	C5F7C6B2	Oh - no, man... Bear! Come on!
SWE1C13	B2F0F624	Everyone likes to party sometimes, CJ. I'll see you around.
SWE1C14	2C946387	Stay the fuck from around here - punk!
SWE1C15	5B935311	Hey, nigga, fuck you!
SWE1C16	C29A02AB	I see what you mean now, man. If crack can do that to Big Bear, turn him into a base slave,
SWE1C17	B59D323D	the average motherfucker ain't got a chance.
SWE1C18	25222FAC	Damn dope fiends and drug addicts everywhere in this city. Piss me off.
SWE1C19	52251F3A	Looks like it's up to us then.
SWE1C20	00D4F45D	Hey, slow down, fool. You don't even know which door it is.
SWE1C21	77D3C4CB	Whatever, man. This it?
SWE1C22	EEDA9571	Yeah, this is it right here.
SWE1C23	99DDA5E7	Fool, I told you this it.
SWE1C24	07B93044	Open up!
SWE1C25	70BE00D2	Who the fuck is it?
SWE1C26	E9B75168	but you'll never understand what getting this money is like.
SWE1C27	9EB061FE	Big Bear, come check this fool.
SWE1C28	0E0F7C6F	Oh, no. man!
SWE1C29	79084CF9	Damn - this shit's fucked up.
