# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



SCR2@00	68968C77	Woy, CJ, ada apaan?
SCR2_03	E6E53980	~s~~r~Kereta api~s~ mulai mendekati Stasiun Market. Wartawan itu bakal bersiap buat turun.
SCR2_04	7881AC23	~s~~r~Wartawan~s~ itu udah turun dari kereta api. Ambil jejaknya terus ikutin dia ke Target.
SCR2_05	0F869CB5	~s~Pertemuan udah selesai. ~r~Wartawan~s~ sama ~r~Target~s~ lagi jalan menjauh.
SCR2_06	968FCD0F	~s~~r~Wartawan~s~ itu ada di trotoar lagi nyari taksi. Buat mengikutinya lu bakal butuh kendaraan.
SCR2_07	E188FD99	~s~~r~Wartawan~s~ itu udah naik ke dalam taksi. Ikutin dia ke Target.
SCR2_08	7137E008	~s~Terlalu deket! Lu bikin ~r~wartawan~s~ itu curiga. Mundur sebelum dia membatalkan wawancaranya.
SCR2_09	0630D09E	~s~Kalo ~r~wartawan~s~ itu curiga dia lagi dibuntutik dia bakal membatalkan wawancaranya, jadi jangan deket-deket biar kagak bikin dia curiga.
SCR2_10	66F7597B	~s~Lu udah ngebunuh wartawan itu. Bantai ~r~Target~s~ buat menyelesaikan misi.
SCR2_11	11F069ED	~s~Target udah tewas. Jangan biarin ~r~wartawan~s~ itu lolos. Bantai dia juga.
SCR2_12	88F93857	~s~~r~Wartawan~s~ sama ~r~Target~s~ udah denger suara tembakan lu. Bantai mereka berdua sebelum mereka kabur.
SCR2_13	FFFE08C1	~s~Lu udah ketahuan. Habisi mereka ~r~berdua~s~.
SCR2_14	619A9D62	~s~Lu udah menembak ~r~wartawan~s~ itu. Habisi dia terus bantai ~r~Target~s~.
SCR2_15	169DADF4	~s~Target terluka. ~r~Wartawan~s~ sama ~r~Target~s~ keduanya harus mati.
SCR2_16	8F94FC4E	~s~Lu terlalu jauh! Mendekat sebelum lu kehilangan jejak ~r~wartawan~s~ itu.
SCR2_17	F893CCD8	~s~Tetep waspada! ~r~Wartawan~s~ itu bisa aja ngecek pancingan buntutan pake cara berhenti mendadak atau tancap gas tiba-tiba.
SCR2_18	682CD149	~s~Wartawan~s~ itu mulai mendekati tujuannya. Jaga jarak lu sampe dia nemuin Target.
SCR2_19	1F2BE1DF	~s~~r~Wartawan~s~ itu udah siap nemuin ~r~Target~s~. Lu punya senapan runduk (sniper rifle). Bantai mereka berdua.
SCR2_20	4DDA0AB8	~s~~r~Wartawan~s~ itu ada di trotoar lagi nyari taksi. Bersiap buat mengikutinya.
SCR2_21	3ADD3A2E	~s~Tenpenny udah menyembunyikan ~g~senapan runduk (sniper rifle)~s~ di area konstruksi bangunan dekat sini. Pergi ambil senapan itu.
SCR2_22	A3D46B94	~s~Lu bisa nyoba mengikutin ~r~kereta api~s~ di sepanjang jalur rel, atau pake peta buat merencanakan rute ke Stasiun Market.
SCR2_23	D4D35B02	~s~Lu bikin ~r~wartawan~s~ itu curiga. Balik lagi ke belakang dia sebelum dia membatalkan wawancaranya.
SCR2_50	029B9C7F	Kemajuan Kereta Api
SCR2_52	EC95FD53	INDIKATOR KECURIGAAN
SCR2_80	B735E232	~r~Lu terlambat. Kereta apinya udah berangkat.
SCR2_81	C032D2A4	~r~Wartawan itu tewas.
SCR2_82	593B831E	~r~Lu kehilangan jejak wartawan itu.
SCR2_83	2E3CB388	~r~Wartawan sama Target udah pergi kabur.
SCR2_84	B058262B	~r~Wartawan itu berhasil kabur.
SCR2_85	C75F16BD	~r~Target berhasil kabur.
SCR2_86	5E564707	~r~Lu bikin wartawan itu curiga.
