# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



SCR1@00	7A232399	Carl, Gimana San Fierro?
VAL_13	3ED62CE3	~s~Pastikan tidak ada valet lain yang melayani mobilnya terlebih dahulu.
VAL_14	A0B2B940	~s~Identifikasi dan masuk ke ~g~Mobil Jaksa~s~ ketika ia datang.
VAL_15	D7B589D6	~s~Kamu berada di mobil jaksa. Pergi ke ~y~Garasi~s~ tempat di mana narkoba akan diseludupkan .
VAL_2	2152696E	Kamu mendapatkan seragam Valet.
VAL_20	8CF22E9A	~s~Narkoba telah diseludupkan. Bawa mobil ke tempat ~y~parkir~s~.
VAL_21	FBF51E0C	~s~Waktu
VAL_23	15FB7F20	Hasilkan tip sebesar $10 dalam 3 menit.
VAL_24	8B9FEA83	Setiap mobil yang Kamu parkirkan memberikan bonus 20 detik. Setiap mobil yang Kamu kembalikan memberikan tip sebesar $3. Merusak mobil akan mengurangi bonus.
VAL_25	FC98DA15	~s~Bawa mobil ini ke tempat parkir yang ditandai.
VAL_26	65918BAF	~s~Bawa mobil yang ditandai ke pemiliknya di atas.
VAL_27	1296BB39	WAKTU TERSISA :
VAL_28	8229A6A8	Tip $
VAL_29	F52E963E	~s~Kembali ke dalam ~b~mobil.
VAL_3	565559F8	Valet Challenge
VAL_30	95E91FDB	~s~Keluar dari mobil untuk membiarkan pemiliknya masuk.
VAL_31	E2EE2F4D	~s~Mobil terlihat rusak. Bawa kembali ke ~y~Garasi~s~ untuk diperbaiki.
VAL_32	7BE77EF7	~s~Parkirkan mobil ke tempat ~y~parkir~s~ yang sudah ditandai.
VAL_33	0CE04E61	~s~Bagus seperti baru. Sekarang kembali ke ~y~tempat parkir~s~.
VAL_34	9284DBC2	~r~Kamu membunuh Jaksa!
VAL_38	9B3297E9	Bonus waktu
VAL_39	EC35A77F	Bonus tip $
VAL_40	DAA8891C	~r~Kamu menghancurkan mobil Jaksa!
VAL_47	44CC1CBF	~r~Kamu kehabisan waktu!
VAL_48	D473012E	~r~Seorang Pelayan mengambil mobil Jaksa!
VAL_49	A37431B8	~s~Tetaplah berada di dekat ~y~emper mobil~s~.
VAL_5	BF36FCCD	~s~Jaksa sedang dalam perjalanan ke ~y~Hotel Vank Hoff~s~ di downtown San Fierro. Datanglah ke sana sekarang.
VAL_50	C3B3B85D	~s~Parkirkan mobil ke dalam Garasi.
VAL_51	B4B488CB	~s~Kembali ke garasi.
VAL_56	2AD01D68	~s~Pergi ~y~Keluar~s~ parkiran untuk menelpon Polisi.
VAL_57	5DD72DFE	~s~Kembalikan mobil Jaksa ke ~y~tempat parkir~s~.
VAL_6	263FAD77	Hotel ini menyediakan layanan valet. Jaksa akan segera menurunkan mobilnya di sini.
VAL_60	E89EEB9E	~s~Misi Valet Level ~1~
VAL_61	9F99DB08	~s~Hasilkan $~1~ dalam ~1~ menit.
VAL_62	06908AB2	~s~Misi Valet Level ~1~ Selesai.
VAL_63	7197BA24	~s~Misi Valet dibatalkan.
VAL_64	EFF32F87	~s~Kamu mengembalikan mobil ini dalam keadaan rusak. tip dikurangi $~1~.
VAL_65	98F41F11	~s~Kamu mendapatkan tip sebesar $~1~.
VAL_66	01FD4EAB	~s~Bonus ~1~ detik.
VAL_67	76FA7E3D	~s~Mobil diparkirkan:
VAL_68	E64563AC	~s~~1~ mobil diparkiran.
VAL_69	9142533A	~s~Kamu harus memarkirkan ~1~ mobil sebelum waktunya habis.
VAL_7	51389DE1	~s~Ikuti salah satu dari petugas ~r~valet~s~ ke tempat parkir bawah tanah dan membunuhnya. Pastikan tidak ada siapapun di sekitar.
VAL_70	F185DADF	~s~Kamu harus memarkirkan ~1~ mobil sebelum waktunya habis.
VAL_71	8682EA49	~s~Misi Valet Gagal.
VAL_72	1F8BBBF3	~r~Anda gagal menghasilkan cukup tip.
VAL_73	688C8B65	~s~Misi Valey berakhir.
VAL_74	F6E81EC6	~s~Bonus waktu ~1~!
VAL_75	81EF2E50	~s~Bonus tip $~1~!
VAL_76	18E67FEA	~s~Parkir ~1~ mobil dalam ~1~ menit.
VAL_77	6FE14F7C	~s~Kamu akan mendapatkan bonus waktu ~1~ detik setiap kali kamu memarkirkan mobil.
VAL_78	FF5E52ED	~s~Sopirnya sudah lelah menunggu.
VAL_79	8859627B	~s~Petugas Valet lain mengambil mobil yang menunggu.
VAL_8	C1878070	Ambil ~g~seragam valet.
VAL_80	761DC610	~s~Kamu sudah merusak mobil terlalu banyak. Kembali dan tunggu yang lain.
VAL_81	011AF686	Kerusakan Mobil
VAL_82	9813A73C	~S~Petugas Valet lain akan mencoba melayani mobil yang menunggu sebelum kamu.
VAL_83	EF1497AA	~r~Kamu membunuh salah satu valet.
VAL_84	71700209	~s~Ada mobil yang menunggu untuk dilayani.
VAL_85	0677329F	~s~Layani mobil sesuai batas waktu.
VAL_86	9F7E6325	~s~Setiap mobil yang kamu parkir akan memberikan bonus waktu.
VAL_87	E87953B3	~s~Merusak mobil akan mengurangi bonus waktu kamu.
VAL_9	B680B0E6	~r~Kamu ketahuan membunuh petugas valet.
VAL_91	1801C7C7	~S~Misi Valet.
VAL_A1	FFE73439	~r~Kamu telah menyerah dari pekerjaan ini.
VAL_A10	79235F90	~s~Bonus parkir +~1~ detik~n~Bonus kerusakan +~1~ detik
VAL_A11	0E246F06	~s~Bonus parkir +~1~ detik~n~Bonus kerusakan +~1~ detik
VAL_A12	972D3EBC	~s~Bonus parkir +~1~ detik~n~Bonus kerusakan +~1~ detik
VAL_A13	E02A0E2A	~s~Bonus parkir +~1~ detik~n~Bonus kerusakan +~1~ detik
VAL_A14	7E4E9B89	~s~Total Bonus +~1~ detik
VAL_A15	0949AB1F	~s~Total Bonus +~1~ detik
VAL_A16	9040FAA5	~s~Kembali ke tempat parkir.
VAL_A17	E747CA33	Bonus Kerusakan
VAL_A18	77F8D7A2	~s~Mobil ini tidak perlu dilayani.
VAL_A19	00FFE734	~s~Kamu membunuh petugas valet. penalti~n~-20 detik.
VAL_A22	BC006D7F	The valet is in the car park. Take ~r~him~s~ out while he's down there!
VAL_A23	CB075DE9	Petugas ~r~valet~s~ meninggalkan tempat parkir.
VAL_A24	5563C84A	Bunuh ~r~dia~s~ ketika dia kembali turun dengan mobil lain.
VAL_A25	2264F8DC	~s~Follow the ~r~valet~s~ to the underground car park and waste him. Make sure no one is around.
VAL_A27	CC6A99F0	~s~Identify and enter the D.A.'s car when it arrives.
VAL_A28	5CD58461	~s~A valet has taken the D.A.'s car. Steal the ~r~car~s~ off him before he parks it.
VAL_A29	2BD2B4F7	~r~Kamu seharusnya pergi ke mobil D.A..
VAL_A3	11E95515	Mobil yang diparkir
VAL_A30	4B153D12	~s~Seorang petugas valet datang untuk mengembalikan mobil jaksa. Pergi ~y~keluar~s~ dari tempat parkir valet dan telpon polisi.
VAL_A31	3C120D84	~s~Jaga mobil tetap bersih atau Jaksa akan menyadarinya.
VAL_A32	A51B5C3E	~s~Pergi ke ~y~tempat parkir~s~ dan tunggu bersama petugas valet lainnya.
VAL_A33	D21C6CA8	~S~Misi Valet Sukses
VAL_A34	4C78F90B	~r~Kamu terlalu lambat. Jaksa akan mengambil mobilnya.
VAL_A35	3B7FC99D	~r~Kamu telah mengecat ulang mobil. Jaksa mungkin akan menyadari perbedaan!
VAL_A4	8F8DC0B6	~s~Mobilmu telah dicuri! Kembali ke service area.
VAL_A5	F88AF020	~r~Kamu menghancurkan mobil tamu.
VAL_A6	6183A19A	~r~Kamu dipecat!
VAL_A7	1684910C	~s~Layanan Parkir Valet
VAL_A8	863B8C9D	~s~Waktu tersisa
VAL_B1	D4CA67FA	~r~Kamu tidak lagi memiliki seragam pelayan.
VAL_B2	4DC33640	~r~Mobilnya terlihat rusak. Sudah terlambat untuk diperbaiki.
VAL_B3	3AC406D6	~s~Polisi akan menangkapmu. Hilangkan status buron sebelum mengikuti valet ke tempat parkir.
VAL_B4	A4A09375	~r~Polisi melihatmu memasuki area parkir.
VAL_B5	D3A7A3E3	~r~Kamu telah dicari oleh polisi. Sekarang penyamaranmu terbongkar.
VAL_B6	4AAEF259	~r~Mobil pelanggan telah hancur.
VALDED1	DC7D9AF7	Sialan, gimana kalau tamu liat dia?
VALDED2	4574CB4D	Ya ampun, Buat apa lu lakuin itu?
VALDED3	3273FBDB	Oh, bagus, Bagus sekali!
VALUND1	388D45EC	Tuan, area ini tidak untuk para tamu.
VALUND2	A1841456	Area ini dilarang untuk tamu.
VANK_1	9A80C8C1	Saya akan memarkirnya untuk Anda, Tuan.
VANK_2	0389997B	Selamat datang di Hotel Vank Hoff, tuan.
VANK_3	748EA9ED	Kami ingin menyambut Anda di hotel kami, Tuan.
VANK_4	EAEA3C4E	Selamat menikmati penginapan Anda, Tuan..
