# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



GM1_1	F324C25D	~s~Pergi ke ~y~Glen Park~s~.
GRO1_CS	7E9BE7D3	Grove bakal bangkit lagi dan geng senior (*OG*) bakal balik menguasai!
GRO1_DA	C263005C	Masuk sana, Bear, lu tau kan kita selalu ada buat lu, oke?
GRO1_DB	5B6A51E6	Sehidup semati, CJ.
GRO1_EA	DB78311D	Si lonte B Dup bakal dapet penderitaan parah yang datang ngincar dia.
GRO1_EB	427160A7	Ayo kita samperin rumahnya, liat tuh orang bego lagi ngapain.
GRO1_FA	F05562DE	Lu tadi mikirin apaan sih di sana, bro?
GRO1_FB	695C3364	Gue capek, bro, gue bener-bener capek.
GRO1_FC	1E5B03F2	Capek udah berusaha keras tapi keadaan tetep kagak membaik.
GRO1_FD	803F9651	Capek ngeliat keluarga gue berantakan.
GRO1_FE	F738A6C7	Sweet, bro, lu punya mental yang lebih kuat dari itu.
GRO1_FF	6E31F77D	Memang sih situasi lagi hancur sekarang, tapi kita dikit lagi bakal bangkit, bro.
GRO1_FG	1936C7EB	Bakal tiba harinya pas keluarga Johnson ada di puncak lagi.
GRO1_FH	8989DA7A	Dan itu bakal terjadi bentar lagi.
GRO1_FJ	6787BB56	Gue paham CJ, lu selalu ada buat kita, gue tahu itu.
GRO1_GA	E94E539F	Woy bro, tahan emosi, kita kagak bisa ngadepin itu!
GRO1_GB	70470225	Kagak bakal, haram hukumnya!
GRO1_HA	6ED64F50	Nyampe juga kita.
GRO1_HB	F7DF1EEA	Moga-moga tuh orang bego ada di rumah.
GRO1_JA	5CE02DD2	Waduh bro, Glen Park!
GRO1_JB	C5E97C68	Pusat wilayahnya geng Kilo Trays (Ballas).
GRO1_JC	B2EE4CFE	Bodo amat, gue gaskan, dan tuh orang bego udah terlalu lama menikmati dosanya.
GRO1_JD	2C8AD95D	Bakal kita obrak-abrik seluruh wilayah ini!
GRO1_JE	5B8DE9CB	Yoi - gaskan cabut.
GRO1_KA	45FB1C93	Gempur tuh anak-anak Ballas sekeras-kerasnya!
GRO1_KB	DCF24D29	Anak-anak Johnson lagi beraksi nih!
GRO1_LA	0ABA8A54	Oke, wilayah ini udah berhasil dikuasai.
GRO1_LB	93B3DBEE	Tapi kagak ada tanda-tanda si B Dup nih, bro.
GRO1_LC	E4B4EB78	Coba cek rumah sebelah sana tuh.
GRO1_LD	7AD07EDB	Nah itu dia tempatnya, gue tahu pasti!
