# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



SYN_D06	48EDF53E	Kamu ikut denganku, pelacur!
SYN2_HF	263114B3	Baik, Yang Mulia Penginjil!
SYN2_JA	8A63E392	Iblis datang untuk merenggut miliknya sendiri, semoga jalanmu diberkati, sopir, semoga diberkati!
SYN2_JB	136AB228	Kita butuh lebih dari sekadar berkah Tuhan!
SYN2_JC	646D82BE	Di mana ponselku?
SYN2_JD	FA09171D	Halo, Pasukan Tuhan (*God Squad*)? Aku butuh murka Tuhan dan aku butuh sekarang juga!
SYN2_JE	8D0E278B	Tenang saja, sayang, pasukan Tuhan akan datang membantu kita!
SYN2_JF	14077631	Sekarang teruskan buka pakaianmu...
SYN2_JG	630046A7	Begitu, taruh tanganmu di situ...
SYN2_JH	F3BF5B36	Sialan, ponselku jatuh!
SYN2_KA	9378D2D3	Enyahlah, makhluk keji!
SYN2_KB	0A718369	Argh, dia datang menjemput kita!
SYN2_KC	7D76B3FF	Lebih cepat, sopir, lebih cepat!
SYN2_KD	E312265C	Aduh! Hati-hati sama giginya, neng!
SYN2_KE	941516CA	Argh! Hati-hati sama 'si kecil', pelacur!
SYN2_LA	DC394414	Ini kawan sejatiku datang, sekarang kalian dalam masalah besar.
SYN2_LB	453015AE	Aku tadinya sedang jaya-jayanya sampai kau muncul.
SYN2_LC	32372538	Ini wilayahku, pengisap!
SYN2_LD	AC53B09B	Kutu buku, kau tidak punya hak menyentuhku
SYN2_LE	DB54800D	Bro, aku nggak punya waktu untukmu!
SYN2_LF	425DD1B7	Mmm, kau datang bergaya seperti pemenang, pelacur!
SYN2_LG	355AE121	Pelacur, aku mengetuk, sekarang biarkan aku masuk.
SYN2_LH	A5E5FCB0	Siap berhubungan seks dengan arahan yang benar?
SYN2_LI	D2E2CC26	Yo, aku harus memasang harga untuk bagian tubuh itu.
SYN2_LJ	4BEB9D9C	Terlihat seperti jutaan dolar di saku celanaku.
SYN2_LK	3CECAD0A	Mmmm... Nona Perkasa! Pamerkan semuanya!
SYN2_LL	A28838A9	Halo anakku (*Hola m'hijo*)!
SYN2_LM	D58F083F	Ooh! Dada yang bidang (*pecho*)!
SYN2_LN	4C865985	Pernah coba gaya setengah-setengah sama cewek nakal sepertiku?
SYN2_LP	B68964E6	Aku bakal lakuin hal yang nggak bakal dilakuin sama pacarmu (*ruca*).
SYN2_LQ	C18E5470	Aku mendengarkan, jujur!
SYN2_LR	588705CA	Aku bukan pelacur tapi aku butuh uang (*feria*).
SYN2_LS	2F80355C	Uh huh, sangat menarik.
SYN2_LT	B1E4A0FF	Terserah, keparat (*puto*)
SYN2_LU	C6E39069	Nanti ya, bro (*ese*).
SYN2A00	6E09BD3E	Woy bro, foto-fotonya sudah dicuci?
SYN2A01	190E8DA8	Halo Carl.
SYN2A02	8007DC12	Ada apa, Woozie!
SYN2A03	F700EC84	Aku tadi menjelaskan kepada... iparmu bahwa kita ini berteman.
SYN2A04	69647927	Oh ya?
SYN2A05	1E6349B1	Begini, Woozie, aku butuh informasi darimu, bro.
SYN2A06	876A180B	Sebenarnya apa yang ingin kalian tahu?
SYN2A07	F06D289D	Siapa para pelacur (*putas*) ini, kawan?
SYN2A08	60D2350C	Kenapa kamu tidak pergi melihatnya sendiri?
SYN2A09	17D5059A	- Orang-orang ini?~n~- Yoi.
SYN2A10	77128C7F	Mereka adalah Sindikat Loco (*Loco Syndicate*). Sepertinya mereka cukup besar.
SYN2A11	0015BCE9	Jangan berurusan dengan mereka — kita nggak main narkoba (*blow*).
SYN2A12	991CED53	Nah, orang inilah yang mengendalikan semuanya. Aku tidak tahu namanya.
SYN2A13	EE1BDDC5	Orang ini adalah T-Bone Mendez. Dia bagian ototnya.
SYN2A14	707F4866	Lalu siapa orang itu?
SYN2A15	077878F0	Itu Jizzy B. Dia makelar terbesar di kota ini.
SYN2A16	9E71294A	Dia membantu mengatur transaksinya...
SYN2A17	E97619DC	Bisa dibilang, semacam petugas penerima tamu (*concierge*).
SYN2A18	79C9044D	Kalau begitu dia jalan masukku.
SYN2A19	0ECE34DB	Bagaimana cara aku menemuinya?
SYN2A20	5C3FDFBC	Oh, Jizzy? Jizzy mengelola Klub Pleasure Domes di benteng tua bawah Jembatan Gant.
SYN2A21	2B38EF2A	Makasih infonya, Woozie.
SYN2A22	B231BE90	Sama-sama. Jangan sungkan mampir!
SYN2A23	C5368E06	Mereka punya semuanya, bro (*ese*)!
SYN2A24	5B521BA5	Gila banget. Sebenarnya apa yang sedang kita lihat ini?
SYN2B00	6C4F0367	Sekarang siapa lagi orang usil ini? Aku nggak butuh teman lagi, sayang.
SYN2B01	1B4833F1	Kerjaan mereka cuma mau merebut cewek-cewekku.
SYN2B02	8241624B	Nggak, nggak, ini bukan soal mereka. Ini soal kamu, kawan (*playa*).
SYN2B03	F54652DD	Aku dengar kamu adalah orang yang punya banyak koneksi,
SYN2B04	6B22C77E	dan kamu adalah orang yang harus kutemui.
SYN2B05	1C25F7E8	Aku menawarkan jasaku.
SYN2B06	852CA652	Maksudmu?
SYN2B07	F22B96C4	Betul, Tuan. Begini, aku pendatang baru di kota ini. Apa pun yang kamu mau, bisa kulakukan.
SYN2B08	62948B55	Ada banyak hal yang bisa kita lakukan bersama.
SYN2B09	1593BBC3	Untuk orang sepertiku, bekerja sama, bekerja UNTUK orang seperti Jizzy B, yah...
SYN2B10	75543226	Ngomong-ngomong soal itu, aku memang punya sedikit masalah.
SYN2B11	025302B0	Sesuatu yang mungkin bisa diselesaikan oleh otot bodoh sepertimu.
SYN2B12	9B5A530A	Karena kamu lihat sendiri, aku ini seorang intelektual.
SYN2B13	EC5D639C	Makanya aku cuma punya dua mata, padahal di jalanan begini kamu butuh lebih dari itu.
SYN2B14	7239F63F	Kamu harus jadi seperti lalat di atas kotoran, tahu kan?
SYN2B15	053EC6A9	Punya seratus mata, di mana-mana.
SYN2B16	9C379713	Nah, ada orang gila yang lagi mengganggu cewek-cewekku.
SYN2B17	EB30A785	Sialan itu membunuh dua orang minggu lalu. Aku mau kamu... Pergi cari tahu pelakunya.
SYN2B18	7B8FBA14	Beress.
SYN2B19	0C888A82	Baiklah. Kau, Tuan C titik J titik.
SYN2B20	5E7961E5	Lihat apa yang bisa kaulakukan.
SYN2B21	297E5173	Sekarang aku ini kawan sejawat, Jizzy
SYN2B22	B07700C9	Lihat, sayang, aku punya segalanya...
SYN2B23	C770305F	Seprai bulu mink... Mantel bulu mink... Tirai bulu mink di jendela.
SYN2B24	5914A5FC	Waktu aku turun tangga, aku berjalan di atas... Karpet bulu mink.
SYN2B25	2E13956A	Cewek-cewek, kalian jalan sana ke bar dan buatkan makelar ini minuman.
