# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



BALLA_1	24676983	Grove Street hancur!
SWE1_YL	CA522132	CJ! Lihat! Di sebelah sana! Itulah orang yang kita cari!
SWE1_YM	BD5511A4	Bro, aku kenal orang ini!
SWE1_YN	245C401E	Dia cuma bajingan, dulu anak buah OG Front Yard Ballas dari Idlewood.
SWE1_YO	535B7088	Aku tahu tempat tinggalnya, persis di seberang jalur rel itu.
SWE1_YP	DE537D7D	Mari kita cek!
SWE1_YQ	A9544DEB	Eh, bukankah itu wilayah teritorial Front Yard?
SWE1_YR	305D1C51	Bro, lu takut ya?
SWE1_YS	475A2CC7	Kagak, aku siap maju, kawan!
SWE1_YT	D93EB964	Bro, kita lagi dalam misi serius sekarang.
SWE1_YU	AE3989F2	Bro, santai saja, kawan - semua orang di blok tahu kalau anak-anak Ballas itu penakut.
SWE1_YV	3730D848	Wih! Bro, bau sarang crack ini kecium dari jarak jauh!
SWE1_YW	4037E8DE	Yoi, mari kita terobos masuk dan perkenalkan diri kita.
SWE1_YX	D088F54F	Selamat siang, para pengedar narkoba Ballas!
SWE1_YY	A78FC5D9	OG Grove Street datang untuk membuat kehancuran!
SWE1_ZA	9FCE0E4C	Woy, ambil satu tongkat pemukul!
SWE1_ZB	06C75FF6	Woy, bego, ambil pentungan jalanan itu!
SWE1_ZC	71C06F60	Woy! Ambil tongkat bisbol yang di sebelah sana!
SWE1_ZD	EFA4FAC3	Woy, mari kita meluncur ke rumah B Dup.
SWE1_ZE	98A3CA55	Woy mari kita pergi jemput B Dup.
SWE1_ZF	01AA9BEF	Woy, rumah B Dup cuma berjarak beberapa blok dari sini.
SWE1B00	3320FCE8	Woy, lu harus bersikap nyata, bro.
SWE1B01	4427CC7E	Bro, tidak ada seorang pun yang peduli dengan kondisi kawasan blok.
SWE1B02	DD2E9DC4	Yang mereka tahu cuma jualan narkoba dan merusak tempat ini.
SWE1B03	AA29AD52	Tidak ada obat *crack* yang bisa membuat suatu geng menjadi solid.
SWE1B04	344D38F1	Ada apa, kawan-kawan?
SWE1B05	434A0867	- Ada apa, CJ?~n~- Ada cerita seru apa?
SWE1B06	DA4359DD	Bro, yang mereka pedulikan cuma merokok dan uang.
SWE1B07	AD44694B	Lu tidak bisa menyalahkan cara cari uang kawan kita, Sweet.
SWE1B08	3DFB74DA	Para bajingan itu bukan tentara. Mereka cuma orang bodoh yang sok jadi pebisnis.
SWE1B09	4AFC444C	Yoi, tapi mereka tetap bagian dari kita, bro.
SWE1B10	2A3BCDA9	Yang mereka pedulikan hanyalah uang semata.
SWE1B11	5D3CFD3F	CJ - pergi ke sana dan tunjukkan pada para bego itu kalau kita serius.
SWE1B12	C435AC85	Para cecunguk dari Ballas itu sedang mengintimidasi kawan-kawan kita.
SWE1B13	B3329C13	Berikan tekanan pada mereka. Lakukan saja sekarang.
SWE1B14	2D5609B0	Kita sudah meluangkan waktu di blok ini,
SWE1B15	5A513926	tapi kita harus mengumpulkan kembali kawan-kawan kita,
SWE1B16	C358689C	seperti masa-masa dulu.
SWE1B17	B45F580A	Yoi, benar juga! Jadi kau dan Ryder urus urusan kalian!
SWE1B18	24E0459B	Bro, mereka bahkan tega menjual barang ke ibu kandung mereka sendiri. Mereka tidak peduli apa pun.
SWE1B19	53E7750D	Kau terlalu naif, kawan. Kita harus tetap fokus.
SWE1B20	01169E6A	Kita butuh bala bantuan. Kau tahu di mana B Dup?
SWE1B21	7611AEFC	Tidak, tapi dia dan si kawan Bear
SWE1B22	EF18FF46	akan sangat bagus jika ada di pihak kita.
SWE1B23	981FCFD0	Oh! Big Bear? Yoi, para pengedar narkoba itu bakal menyesal sekarang.
SWE1B24	067B5A73	Aku tahu!
SWE1B25	717C6AE5	Entahlah, bro.
SWE1B26	E8753B5F	Ada cerita apa?
SWE1B27	9F720BC9	Mmm hmmm, yoi.
SWE1C00	32E296DF	Buka pintunya! Kau yakin dia masih tinggal di sini?
SWE1C01	45E5A649	CJ? Sialan apa yang kau cari? Cepat enyah dari sini.
SWE1C02	DCECF7F3	Tunggu, tahan dulu, bro. Apa arti sumpah persahabatan seumur hidup (*4 life*), kawan?
SWE1C03	ABEBC765	Satu-satunya hal yang penting adalah blok kita, kawan,
SWE1C04	358F52C6	Tahu tidak, bro? Cepat enyah dari sini sebelum kau terkapar di lantai.
SWE1C05	42886250	Woy, Bear? Big Bear, itu kau? Woy, kau masih anak blok kita, kawan, atau bagaimana?
SWE1C06	DB8133EA	Kagak, satu-satunya hal yang dipedulikan Bear cuma merokok dan menjaga kebersihan rumahku.
SWE1C07	AC86037C	Iya kan, Big Bear?
SWE1C08	3C391EED	Tentu saja.
SWE1C09	4B3E2E7B	Tentu saja, apa?
SWE1C10	2BF9A79E	Tentu saja, tuan!
SWE1C11	5CFE9708	Sekarang pergi buat kloset sialan itu bersih berkilau.
SWE1C12	C5F7C6B2	Oh - tidak, bro... Bear! Ayolah!
SWE1C13	B2F0F624	Setiap orang memang suka berpesta terkadang, CJ. Sampai jumpa lagi.
SWE1C14	2C946387	Jangan pernah muncul lagi di sekitar sini - bajingan!
SWE1C15	5B935311	Woy, kawan, persetan denganmu!
SWE1C16	C29A02AB	Aku baru paham maksudmu sekarang, bro. Jika crack bisa membuat Big Bear seperti itu, mengubahnya jadi budak narkoba,
SWE1C17	B59D323D	orang biasa tentu tidak punya kesempatan untuk selamat.
SWE1C18	25222FAC	Sialan, para pecandu narkoba dan pemadat bertebaran di mana-mana di kota ini. Bikin emosi saja.
SWE1C19	52251F3A	Sepertinya ini jadi tanggung jawab kita kalau begitu.
SWE1C20	00D4F45D	Woy, pelan-pelan, bego. Kau bahkan tidak tahu pintu mana yang dituju.
SWE1C21	77D3C4CB	Terserah lah, bro. Ini tempatnya?
SWE1C22	EEDA9571	Yoi, persis di sini tempatnya.
SWE1C23	99DDA5E7	Bego, sudah kubilang ini tempatnya.
SWE1C24	07B93044	Buka pintunya!
SWE1C25	70BE00D2	Sialan siapa ini?
SWE1C26	E9B75168	tapi kau tidak akan pernah paham bagaimana rasanya mencari uang sebanyak ini.
SWE1C27	9EB061FE	Big Bear, mari periksa orang bodoh ini.
SWE1C28	0E0F7C6F	Oh, tidak, bro!
SWE1C29	79084CF9	Sialan - situasi ini benar-benar kacau.
