# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



GM1_1	F324C25D	~s~Go to ~y~Glen Park~s~.
GR1C@25	7CC0B9FD	I'm free!
GRO1_AA	BF14F419	CJ, you take care of Bear, OK?
GRO1_AB	261DA5A3	Yeah, for sure. C'mon Bear, time for a little detox!
GRO1_AC	511A9535	Oh man, do I have to?
GRO1_AD	CF7E0096	Have you looked at yourself in the mirror lately?
GRO1_AE	B8793000	Most successful diet I ever been on!
GRO1_BA	9439A7DA	I got Bear's back, man.
GRO1_BB	0D30F660	A'ight. I'll see you in a minute Bear!
GRO1_BC	7A37C6F6	Where we going, Sweet?
GRO1_BD	E4535355	Someplace where we can get old Bear back!
GRO1_BE	935463C3	A'ight. I'm down for that...
GRO1_CA	8D22969B	How'd B Dup get his claws into you, Bear?
GRO1_CB	142BC721	Man, Grove Street Families used to be tight, man.
GRO1_CC	632CF7B7	Then Li'l Brian caught it, you ran off.
GRO1_CD	FD486214	I don't mean to dis you, man, but you did.
GRO1_CE	8A4F5282	I know, but I'm back now.
GRO1_CF	13460338	True, homie, that's real speed.
GRO1_CG	644133AE	Anyways man, Sweet, he just became a hard man to deal with, you know?
GRO1_CH	F4FE2E3F	Then we got bad blood with Seville Boulevard Families and
GRO1_CJ	1AF04F13	they split from the Grove. Then Temple, hell,
GRO1_CK	6DF77F85	they went loneranger too
GRO1_CL	F393EA26	Sweet, man, he did absolutely nothing.
GRO1_CM	8494DAB0	Next thing I knew B Dup's, he's making money, Grove Street, they set tripping.
GRO1_CN	1D9D8B0A	Streets ain't no place to be when every fool is trying to make a move.
GRO1_CO	6A9ABB9C	So I tried my first blast - see what the fuss is all about, right?
GRO1_CP	E792B669	Now look at me, a rockstar...
GRO1_CQ	909586FF	Ain't nothing to be proud of, man.
GRO1_CR	099CD745	We gonna put all this behind us, Bear.
GRO1_CS	7E9BE7D3	Grove is coming back and the OG posse is on the bounce!
GRO1_DA	C263005C	Go on in, Bear, you know we're here for you, a'ight?
GRO1_DB	5B6A51E6	For life, CJ.
GRO1_EA	DB78311D	That bitch B Dup got a shit load of pain comin' his way.
GRO1_EB	427160A7	Let's head over to his crib, see what that fool's been up to.
GRO1_FA	F05562DE	What were you thinking back there, bro?
GRO1_FB	695C3364	I'm tired, man, I'm real tired.
GRO1_FC	1E5B03F2	Tired of putting the work in and still shit don't get better.
GRO1_FD	803F9651	Tired of seeing my family fall apart.
GRO1_FE	F738A6C7	Sweet, man, you got more heart than that.
GRO1_FF	6E31F77D	Sure things are screwed up now, but we fittin' to turn a corner, man.
GRO1_FG	1936C7EB	The day is comin' when the Johnson family will be at the top.
GRO1_FH	8989DA7A	And it's coming real soon.
GRO1_FJ	6787BB56	I hear you, CJ, you're there for us, I know that.
GRO1_GA	E94E539F	Dude, get a grip, we can't take that!
GRO1_GB	70470225	No way, hell no!
GRO1_HA	6ED64F50	Here we are.
GRO1_HB	F7DF1EEA	Hope that fool's home.
GRO1_JA	5CE02DD2	Oh man, Glen Park!
GRO1_JB	C5E97C68	Heart of Kilo Trays country.
GRO1_JC	B2EE4CFE	Fuck it, I'm down, and that fool had it coming too long.
GRO1_JD	2C8AD95D	We'll take the whole neighborhood apart!
GRO1_JE	5B8DE9CB	Yeah - let's roll.
GRO1_KA	45FB1C93	Hit those Ballas hard!
GRO1_KB	DCF24D29	Johnson boys rollin' through!
GRO1_LA	0ABA8A54	OK, the neighborhood's sewed up now.
GRO1_LB	93B3DBEE	No sign of B Dup though, dog.
GRO1_LC	E4B4EB78	Check that place over there.
GRO1_LD	7AD07EDB	That's it, I know it!
