# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	9B4B3CD8	Press ~m~~widget_horn~ to sound car horn.
GAR1_NB	BCB79A6A	Who was them dudes?
GAR1_NC	CBB0AAFC	Don't go there, man.
GAR1_ND	55D43F5F	Listen to Jethro.
GAR1_NE	22D30FC9	Now, what if I told you we never went to the moon,
GAR1_NF	BBDA5E73	JFK lives in Scotland with Janis Joplin,
GAR1_NG	CCDD6EE5	and the only reason we've been in a cold war for the last forty-five years,
GAR1_NH	5C627374	was because snake-headed aliens run the oil business?
GAR1_NJ	B26C1258	I think you popped another microdot.
GAR1_NK	C56B22CE	Good. Keep it that way.
GAR1_OA	3CA5FA91	Blow the horn.
GAR1_OB	A5ACAB2B	Leave me alone Berkley!
GAR1_OC	D2AB9BBD	This is stalking!
GAR1_OD	4CCF0E1E	Oh, hey, Truth.
GAR1_OE	3BC83E88	Get in, I'll fill you in as we drive.
GAR1_OF	A2C16F32	Home, James!
GAR1_PA	F1FFF40F	Carl, Zero, Zero, Carl.
GAR1_PB	68F6A5B5	Sup.
GAR1_PC	1FF19523	Carl here is opening a garage around the corner.
GAR1_PD	81950080	I told him you're the man to speak to when it comes to electronics.
GAR1_PE	F6923016	Actually, I'm the ONLY man to speak to.
GAR1_PF	6F9B61AC	You should drop by the shop sometime, see some of my shit, bro.
GAR1_PG	189C513A	I'll do that.
GAR1_PH	88234CAB	OK, we here.
GAR1_PJ	662D2D87	Grade A, tip-top genius, that's me.
GAR1B00	A7FEEE21	Motherfucker! That mute asshole!
GAR1B01	D0F9DEB7	That fucking snake without a tongue!
GAR1B02	49F08F0D	Gave me this shithole instead of a pink slip?
GAR1B03	3EF7BF9B	I must be the biggest fucking idiot in the whole fucking world!
GAR1B04	A0932A38	Holmes, take it easy. At least we're alive.
GAR1B05	D7941AAE	Carl, friend, fellow traveler, relax, man.
GAR1B06	4E9D4B14	You're really killing my fucking vibe here!
GAR1B07	399A7B82	Well, I'm sorry I'm fucking up your vibe, old man,
GAR1B08	A9256613	but I can't wait to get my hands on that mute
GAR1B09	DE225685	and your bitch ass cousin.
GAR1B10	BEE5DF60	Hey!
GAR1B11	C9E2EFF6	My cousin? You're gonna dis my familia?
GAR1B12	50EBBE4C	My bad, man. I'm just pissed for all of us.
GAR1B13	27EC8EDA	I mean look, we in a strange place, we got shit to our name,
GAR1B14	B9881B79	and for once I try to make something work, this garage,
GAR1B15	CE8F2BEF	and it ain't even a garage.
GAR1B16	57867A55	Then make it into a garage.
GAR1B17	20814AC3	Oh, that's a great idea, sis! Why don't you shut up?
GAR1B18	B03E5752	You know what, Carl, you are a fucking idiot.
GAR1B19	C73967C4	Your whole life you've wanted something for nothing.
GAR1B20	95C88CA3	Now you've got something, and you don't know what to do with it.
GAR1B21	E2CFBC35	Well, make it good enough. We'll help, right?
GAR1B22	7BC6ED8F	C'mon stop tripping, man.
GAR1B23	0CC1DD19	Both of you.
GAR1B24	92A548BA	Woah man, the energy here - it's fantastic.
GAR1B25	E5A2782C	Yeah, alright, but how am I gonna find some good mechanics to work up in here, man?
GAR1B26	7CAB2996	I know a few guys. Come with me, friend.
GAR1B27	0BAC1900	They're good people, I swear it.
GAR1B28	9B130491	We got your back, CJ.
GAR1B29	EC143407	Ommmmmm...
GAR1B30	8CD3BDE2	Oh, man - I'm about to ride with this fool again?
GAR1C00	A63C8416	Nice place you got here.
GAR1C01	D13BB480	A week of hard work and we'll transform this place.
GAR1C02	4832E53A	Cesar, this is Jethro, Dwaine and Zero.
GAR1C03	3F35D5AC	- Hey man.~n~- Dude.
GAR1C04	A151400F	Wassup, B?
GAR1C05	D6567099	Salutations, my sibling!
GAR1C06	4F5F2123	Horale, let's get to work.
GAR1C07	385811B5	Hey Carl, look - I think I found a way for us to get paid.
GAR1C08	A8E70C24	I ain't going to no college to study no accounting!
GAR1C09	DFE03CB2	No, idiot, property!
GAR1C10	BF27B557	Decorating ain't exactly my thing, either.
GAR1C11	C82085C1	No, property development!
GAR1C12	5129D47B	Look, you buy a dump like this, fix it up and sell it.
GAR1C13	262EE4ED	Or better yet, you turn the property into a business.
GAR1C14	B84A714E	The snowball gets bigger...
GAR1C15	CF4D41D8	I dunno, sis, this all sounds big time to me.
GAR1C16	56441062	Look, Carl, this place is gonna get on its feet,
GAR1C17	214320F4	and when it does, we are gonna have money.
GAR1C18	B1FC3D65	If you want to make something of yourself,
GAR1C19	C6FB0DF3	you gotta let your money work for you.
GAR1C20	940AE694	Look, I wouldn't even know where to start.
GAR1C21	E30DD602	Look, you two concentrate on the garage,
GAR1C22	7A0487B8	and let me work the property thing, OK?
GAR1C23	0D03B72E	Hey, Cesar! Come over here.
GAR1C24	9367228D	Yeah, that's my baby girl right there, holmes!
GAR1C25	E460121B	Man, you chose her, I'm stuck with her!
