# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



HE1_AA	FAEBF86F	Hey, my camera!
HST1A16	62D6E2D5	Meeting adjourned.
SHEQ1	9CE1EE2F	Can I help you sir?
SHEQ1N	3A29B020	No thank you.
SHEQ1Y	B9FA35E7	I'd like to see the architectural plans for Caligula's Casino, please.
SHEQ2	05E8BF95	OK sir. Are you aware that reproduction of such plans is prohibited?
SHEQ2N	1104E3E3	No, I didn't know that, why?
SHEQ2Y	92D76624	Yeah, I'm only after some reference.
SHEQ2YB	A443130B	I'm building a scale model for my uncle's birthday. He's very keen on blackjack.
SHEQ4	EC8B1AA0	You'll find the plans on the top floor.
SHEQ4B	4EE8084E	Very witty sir.
SHEQ4C	39EF38D8	I will buzz open the door. It's directly by the main entrance...
SHEQ5	9B8C2A36	I'm very sorry sir, I can't make it any clearer.
SHEQ5B	57F3390F	Alert me when you've thought it over.
SHEQ5C	20F40999	Alert me if you change your mind.
SHEX1	4D235566	I'm rather busy sir.
SHEX1B	3C4EC784	Come to me if you change your mind.
SHEX2	D42A04DC	Well, we don't want to be party to preparation of a daring raid on the count room!
SHEX2B	17639447	Does sir understand?
SHEX2N	1ED5D86C	No, I'm just a dumb ghetto kid, I don't understand shit.
SHEX2Y	9D065DAB	Oh, of course, the owners wouldn't want to take a gamble on that happening!
SHEX3	A32D344A	Seeing as you're walking away, sir I take it you don't want to talk anymore.
