# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



TWAR2_A	BB0262D9	~s~Masuk ke dalam ~b~mobil~s~.
SWE2_GC	9C19AC92	Berhenti lu ngejejelin tuh mulut bangsat lu! Ayo buruan!
SWE2_GD	027D3931	Gue gak ngejejelin makanan kawan, gue lagi nikmatin santapan gue.
SWE2_GE	757A09A7	Woy, bunuh tuh bajingan! Gila ya, mantap banget rasa roti lapisnya!
SWE2_HA	F58FD171	Smoke! Berhenti ngunyah tuh makanan dan mulai tembakin anak-anak Ballas itu!
SWE2_HB	6C8680CB	Gue lagi berusaha nikmatin makanan gue bego!
SWE2_HC	1B81B05D	Dan anak-anak bego itu lagi berusaha nikmatin kematian kita bangsat!
SWE2_HD	85E525FE	Ayolah cepetan, Smoke, tembak!
SWE2_HE	F2E21568	Sabar napa, kentang goreng gue dikit lagi abis nih!
SWE2_DA	593A9E7D	Menu Spesial gue tumpah!
SWE2_DB	C033CFC7	Aduh sialan! Saus tomat pesenan lu blepotan ke jok mobil gue!
SWE2_DC	B734FF51	Fokus ke urusan yang ada di depan mata bangsat, urusan di depan mata!
SWE2_DD	29506AF2	Tapi ini celana gue baru dicuci bersih!
SWE2_MA	88F82534	Gila! Barusan bener-bener situasi tegang banget!
SWE2_MB	11F1748E	Iya bro, anak-anak Ballas tolol itu gak bakal berani ngulangin lagi dah!
SWE2_MC	66F64418	Carl, ayo kita balik ke Grove!
SWE2_MD	F892D1BB	Beres, langsung gue gas.
SWE2_ME	8F95E12D	Aduh nikmatnya! Kenyang banget perut gue!
SWE2_MF	169CB097	Dasar lu gembrot sialan!
SWE2_MG	619B8001	Lain kali lu kudu ikutan nembak, kalau kagak kepala lu yang gue tembak!
SWE2_MH	F1249D90	Smoke, perut lu buncit lebar banget bangsat, bener-bener melar!
SWE2_MJ	1F2AFCBC	Dan gara-gara itulah lu semua sayang sama gue, bro!
SWE2_NA	A3D576F7	Poin kemenangan tambahan buat anak Grove!
SWE2_NB	3ADC274D	Ngomong apaan barusan lu, Smoke?
SWE2_NC	4DDB17DB	Dari tadi kerjaan lu cuma ngabisin makanan gue doang bangsat!
SWE2_ND	D3BF8278	Iya lah, keburu dingin ntar!
SWE2_NE	A4B8B2EE	Lu semua mau mampir masuk minum bir dulu gak?
SWE2_NF	3DB1E354	Gak dulu bro, gue kudu balik ke rumah.
SWE2_NG	4AB6D3C2	CJ, bisa tumpangi gue balik gak?
SWE2_NH	DA09CE53	Ayo dah Smoke, cabut kita. Cabut duluan ya bro.
SWE2_OA	BACE47B6	Ada apa sama lu pas kejadian tadi, Smoke?
SWE2_OB	23C7160C	Bro, kalau lu tetep bisa anteng makan di saat orang lain panik histeris
SWE2_OC	54C0269A	dan nyalah-nyalahin lu, tandanya lu cowok sejati, kawan.
SWE2_OD	CAA4B339	Hah? Maksud lu apaan?
SWE2_OE	BDA383AF	Gak ada, bukan apa-apa. Cuma kutipan puisi yang pernah gue baca doang.
SWE2_OF	24AAD215	Woy Smoke, ceritain ke gue napa lu pindah rumah keluar dari Grove?
SWE2_OG	53ADE283	Bro, gue dapet warisan duit dari bibi gue. Maksud gue tempatnya emang lumayan enak,
SWE2_OH	C312FF12	tapi Grove bakal selalu ada di hati gue, kawan. Di sanalah tempat kawan-kawan setia gue berada.
SWE2_OJ	2D1C9E3E	Iya dah, terserah apa kata lu.
SWE2_PA	77944928	Makasih banyak ya, Carl. Asli dah, gue kangen banget ada lu di sekitar kita kayak gini lagi, bro.
SWE2_PB	EE9D1892	Makasih bro. Andai si Sweet punya pikiran kayak gitu juga ke gue.
SWE2_PC	999A2804	Omongan dia gak sejahat itu kok, CJ.
SWE2_PD	07FEBDA7	Dia cuma masih sakit hati banget kepikiran soal Ibu lu, kawan.
SWE2_PE	70F98D31	Nih, buat jajan rokok lu dari Smoke. Santai dulu, kawan.
SWE2A06	CAB0486A	Iya nih, boleh lah makan.
SWE2A16	D3AB792B	Bung, gue lagi gak kepengen makan ayam...
SWE2A10	3AC8DC1E	Nah, boleh tuh.
SWE2A11	4DCFEC88	Ayo kita cabut.
SWE2A12	D4C6BD32	Kenapa lu bengong mulu, Ryder?
SWE2_AB	BD443B82	Si Smoke tampangnya udah kayak mau pingsan tuh.
SWE2B03	B89C02BC	Lu mau apa, Sweet?
SWE2_BM	06D675D0	Mereka berondong rumah kita pake peluru. Gue gak sempet liat apa-apaan sialan.
SWE2B19	4152DAE3	Bangsat! Kentang keju gue tumpah! Carl, bantai mereka semua!
SWE2_CB	8F725900	Kejar tuh mobil, CJ!
SWE2_EA	4021AF3C	CJ, liat jalanan napa sialan!
SWE2_EB	D928FE86	Santai bangsat, ini bukan situasi buat jalan santai di hari Minggu!
SWE2_EC	AE2FCE10	Soda gue tumpah! Berceceran di lantai mobil bangsat!
SWE2_ED	304B5BB3	Bodo amat, lu jilatin tuh lantai ntar abis urusan kita kelar.
SWE2_EE	474C6B25	Sekarang mata lu fokus ngeliatin mobil Ballas!
SWE2_FA	6B0CFCFF	Tuh mereka kabur!
SWE2_FB	F205AD45	Pepet samping mobil bajingan itu, CJ!
SWE2_FC	85029DD3	Ballas! Lu liat gak? Di sebelah sono tuh!
SWE2_FD	1B660870	Pepet mereka, CJ!
SWE2_FE	6C6138E6	Udah siap belum lu pada?
SWE2_JA	C7B9B3F3	CJ tepar, sialan!
SWE2_JB	5EB0E249	CJ! Sweet, si CJ tepar tuh!
SWE2_JC	29B7D2DF	Dia cuma pura-pura pingsan doang tuh, ya kan CJ?
SWE2_KA	DEA282B2	Aaargh! Mobil kita kebakar! Selamatkan diri masing-masing! Kabur!
SWE2_KB	47ABD308	Woy mobil sialan ini mau meledak, buruan loncat keluar!
SWE2_KC	30ACE39E	Mobil kita ringsek ancur bro, cepetan keluar semua!
SWE2_LA	91E31475	Sialan, kita udah telat banget!
SWE2_LB	08EA45CF	Aduh bangsat, kita ngecewain kawan-kawan kita!
SWE2_LC	7FED7559	Kita ngecewain seluruh anak tongkrongan!
