# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



SCR1@00	7A232399	Carl, how's San Fierro?
VAL_A18	77F8D7A2	~s~This car doesn't need servicing.
VAL_A19	00FFE734	~s~You killed a valet.~n~-20 second penalty.
VAL_A22	BC006D7F	The valet is in the car park. Take ~r~him~s~ out while he's down there!
VAL_A23	CB075DE9	The ~r~valet's~s~ leaving the car park.
VAL_A24	5563C84A	Kill ~r~him~s~ when he gets back down with another car.
VAL_A25	2264F8DC	~s~Follow the ~r~valet~s~ to the underground car park and waste him. Make sure no one is around.
VAL_A27	CC6A99F0	~s~Identify and enter the D.A.'s car when it arrives.
VAL_A28	5CD58461	~s~A valet has taken the D.A.'s car. Steal the ~r~car~s~ off him before he parks it.
VAL_A29	2BD2B4F7	~r~You were supposed to get to the D.A.'s car.
VAL_A3	11E95515	Cars to park
VAL_A30	4B153D12	~s~A valet is coming to return the D.A.'s car. Get ~y~outside~s~ the valet car park and call the cops.
VAL_A31	3C120D84	~s~Keep the car spotless or the D.A. will notice.
VAL_A32	A51B5C3E	~s~Get to the valet ~y~car port~s~ and wait with the other valets.
VAL_A33	D21C6CA8	~S~Valet Parking Complete
VAL_A34	4C78F90B	~r~You were too slow. The D.A. picked up his car.
VAL_A35	3B7FC99D	~r~You've resprayed the car. The D.A. may notice the difference!
VAL_A4	8F8DC0B6	~s~Your car's been stolen! Get back to the service area.
VAL_A5	F88AF020	~r~You destroyed a guest's car.
VAL_A6	6183A19A	~r~You're fired!
VAL_A7	1684910C	~s~Valet Parking
VAL_A8	863B8C9D	~s~Time left
VAL_B1	D4CA67FA	~r~You no longer have the valet uniform.
VAL_B2	4DC33640	~r~The car's visibly damaged. It's too late to get it fixed.
VAL_B3	3AC406D6	~s~The cops are on to you. Clear the heat before following the valet in to the car park.
VAL_B4	A4A09375	~r~The cops saw you entering the car park.
VAL_B5	D3A7A3E3	~r~You're wanted by the cops. Now your cover's blown.
VAL_B6	4AAEF259	~r~The customer's car was destroyed.
VALDED1	DC7D9AF7	Shit, what if the guests see him?
VALDED2	4574CB4D	Oh man, what you do that for?
VALDED3	3273FBDB	Oh, great, nice one!
VALUND1	388D45EC	Sir, this area isn't for guests.
VALUND2	A1841456	This area is restricted to guests.
VANK_1	9A80C8C1	I'll park her for you sir.
VANK_2	0389997B	Welcome to the Vank Hoff Hotel sir.
VANK_3	748EA9ED	We'd like to welcome you to our hotel sir.
VANK_4	EAEA3C4E	Enjoy your stay sir.
